node1,node2,weight,weight_rescaled
2차전지,LG화학,0.4798689723594093,1
2차전지,그린수소,0.45104988635486076,1
2차전지,니켈,0.46713226882099584,1
2차전지,이차전지,0.4871841855305102,1
2차전지,첨단,0.43197092970103057,1
ADC분야,HLB컨소시엄,0.5210052844108458,5
ADC분야,LG화학,0.4366015110767452,1
ADC분야,바이오,0.4905887880392975,1
ADC분야,바이오제약,0.48526682834878393,1
ADC분야,세포유전자치료제,0.5685395733602412,5
ADC분야,유전자 치료제/분석,0.5645057509697855,5
AI,AI 챗봇,0.4538971374637818,1
AI,딥러닝,0.49212750765027247,1
AI,블록체인,0.4692734907883097,1
AI,스마트물류솔루션,0.4418136346412665,1
AI,시큐리티,0.4465724446851751,1
AI,핀테크,0.44501868614015216,1
ELW,상장,0.6081434187063121,10
ELW,증권,0.5857717657409459,5
HLB컨소시엄,바이오,0.4427330874390719,1
HLB컨소시엄,바이오제약,0.5577884576964005,5
HLB컨소시엄,세포유전자치료제,0.630644863165673,10
HLB컨소시엄,유전자 치료제/분석,0.5532619208748012,5
HSD엔진,거래량,0.49815095038455126,1
HSD엔진,텍,0.5786480353556892,5
ISDS,게임,0.4374306935617321,1
ISDS,국민연금,0.5036767096507969,5
ISDS,국제투자분쟁,0.5037581662077869,5
ISDS,리츠,0.43184592590366305,1
ISDS,비트코인,0.4773952877104498,1
ISDS,신한금융,0.44263726129881203,1
ISDS,자본성증권,0.45338242183992694,1
ISDS,합병,0.5026724019448684,5
LG화학,SK이노베이션,0.4808722759617773,1
LG화학,배터리,0.5455199653736813,5
LG화학,에너지솔루션,0.5538771830583528,5
LG화학,이차전지,0.4415722514838704,1
LG화학,자동차,0.4530316318316827,1
LG화학,첨단,0.47718029671468104,1
LNG,그린수소,0.5309841962453106,5
LNG,니켈,0.47926210920146306,1
LNG,조선,0.4326697282879767,1
MLCC,세포유전자치료제,0.456061327875192,1
MLCC,유전자 치료제/분석,0.43252685651829476,1
SK이노베이션,에너지솔루션,0.5142519181545329,5
SK이노베이션,유상증자,0.6328601747676097,10
SK이노베이션,자사주,0.48492132658493114,1
SK이노베이션,컴투스,0.45303993197122605,1
SK이노베이션,화학,0.564828415650846,5
거래량,텍,0.5893196552596186,5
건강기능식품,바이오,0.4358284073410428,1
건설,건설 중소형,0.7703169046980958,10
건설,두산에너빌리티,0.44785262300536716,1
건설,블록딜,0.4709453854178296,1
건설,엘리베이터,0.5499455181370414,5
건설 중소형,국민연금,0.4419637080279374,1
건설 중소형,엘리베이터,0.43364752265345063,1
게임,바이오,0.44181624867989816,1
게임,블록체인,0.5207133218656458,5
게임,비트코인,0.5187468808711568,5
게임,암호화폐,0.4612082416709286,1
게임,영화관,0.4720155074781154,1
게임,핀테크,0.4573781258858246,1
게임,합병,0.4374587128483629,1
구리,금속,0.44131964482055375,1
구리,희토류,0.45409751004469706,1
국민연금,롯데그룹,0.46525794755259053,1
국민연금,리츠,0.4380495456943776,1
국민연금,합병,0.7155073408975074,10
국제투자분쟁,합병,0.5220418541230737,5
규제,금융,0.5821101373855744,5
규제,대부업,0.5096068397341806,5
규제,대출,0.4694789636599294,1
규제,핀테크,0.45645131760371904,1
그린수소,니켈,0.5504481461242497,5
그린수소,이차전지,0.5260094251647842,5
그린수소,자원개발,0.5154697365590198,5
그린수소,철강,0.510656766352144,5
금리,반도체,0.44815383822459554,1
금리,환율하락,0.5655340814371456,5
금속,희토류,0.4804118054792914,1
김치,식품,0.6570553057501809,10
니켈,리튬,0.5538971467951302,5
니켈,시멘트/레미콘,0.4509954613572211,1
니켈,이차전지,0.6380189280380377,10
니켈,제강사,0.4714890106774158,1
니켈,철강,0.5484368295223734,5
니켈,희토류,0.44705969807488727,1
대부업,핀테크,0.46428304305659945,1
두산에너빌리티,블록딜,0.6703956076363577,10
두산에너빌리티,엘리베이터,0.461274665559111,1
딥러닝,세포유전자치료제,0.44165763760289917,1
딥러닝,의료기기,0.47459120272656685,1
라면,식품,0.4758153422083867,1
롯데그룹,합병,0.4353724210388594,1
리츠,신한금융,0.4331648446138626,1
리츠,합병,0.4550515187961773,1
리튬,이차전지,0.5546138263979539,5
바이오,바이오제약,0.4888658449893265,1
바이오,세포유전자치료제,0.4740711841823195,1
바이오,유전자 치료제/분석,0.44124195174616937,1
바이오제약,세포유전자치료제,0.5826493425679089,5
바이오제약,유전자 치료제/분석,0.5466988878125506,5
반도체,파운드리,0.44293164120667966,1
배터리,에너지솔루션,0.5466816934049643,5
배터리,유상증자,0.4739495401756522,1
배터리,이차전지,0.4668625047367017,1
